# Sensor Kongens gate, Narvik, Norway (NILU - Norsk institutt for Luftforskning (Norwegian Institute for Air Research)/no0148a)
# https://aqicn.org/station/@566614/
# Daily pm25
date,min,max,median,q1,q3,stdev,count
2025-10-11T00:00:00.000Z,0.24,1.45,0.74,0.47,0.9,0.309,13
2025-10-12T00:00:00.000Z,0.23,2.37,1.38,0.95,1.69,0.528,24
2025-10-13T00:00:00.000Z,1.34,19.82,6.11,1.62,11.09,5.652,24
2025-10-14T00:00:00.000Z,1.04,14.47,1.91,1.42,5.31,3.568,24
2025-10-15T00:00:00.000Z,0.36,4.5,1.85,0.79,2.41,1.149,24
2025-10-16T00:00:00.000Z,0.77,3.26,1.63,1.27,1.97,0.561,24
2025-10-17T00:00:00.000Z,0.45,1.8,0.9,0.68,1.23,0.389,24
2025-10-18T00:00:00.000Z,0.22,1.4,0.84,0.65,0.96,0.288,24
2025-10-19T00:00:00.000Z,0.28,5.72,0.62,0.42,1.12,1.092,24
2025-10-20T00:00:00.000Z,0.7,12.22,1.26,0.88,3.86,3.673,24
2025-10-21T00:00:00.000Z,1.37,43.74,11.72,4.19,24.15,11.985,24
2025-10-22T00:00:00.000Z,0.52,4.48,1.47,0.96,2.6,1.161,24
2025-10-23T00:00:00.000Z,0.46,4.59,1.39,0.86,1.8,1.016,24
2025-10-24T00:00:00.000Z,0.44,1.63,0.83,0.71,1.14,0.307,24
2025-10-25T00:00:00.000Z,0.5,8.91,1.65,0.76,5.23,2.769,23
2025-10-26T00:00:00.000Z,0.61,24.78,5.16,1.48,9.02,7.492,23
2025-10-27T00:00:00.000Z,1.05,32.4,3.86,1.94,20.97,11.056,24
2025-10-28T00:00:00.000Z,0.71,6.62,2.31,1.4,3.52,1.648,24
2025-10-29T00:00:00.000Z,0.7,15.41,4.78,2.24,6.38,3.193,24
2025-10-30T00:00:00.000Z,0.41,12.24,2.45,0.95,5.13,2.99,24
2025-10-31T00:00:00.000Z,1.03,13.89,5.37,2.92,7.5,3.441,24
2025-11-01T00:00:00.000Z,0.45,19.94,7.31,1.1,11.41,6.082,24
2025-11-02T00:00:00.000Z,0.55,12.41,2.22,1.52,3.79,2.717,24
2025-11-03T00:00:00.000Z,0.61,23.78,3.07,0.89,4.82,4.851,24
2025-11-04T00:00:00.000Z,0.62,9.85,2.36,1.03,4.37,2.451,24
2025-11-05T00:00:00.000Z,0.43,4.47,2.11,1.21,2.89,1.181,24
2025-11-06T00:00:00.000Z,0.5,2.52,1.28,1.05,1.57,0.467,24
2025-11-07T00:00:00.000Z,0.56,2.14,1.17,0.93,1.57,0.435,24
2025-11-08T00:00:00.000Z,0.62,3.91,0.88,0.82,1.49,0.825,24
2025-11-09T00:00:00.000Z,0.57,3.17,1.82,1.05,2.19,0.671,24
2025-11-10T00:00:00.000Z,1.47,5.69,2.56,1.92,2.86,1.258,24
2025-11-11T00:00:00.000Z,1.93,18.23,4.62,2.87,7.32,4.186,24
2025-11-12T00:00:00.000Z,0.45,4.23,1.68,1.25,2.27,0.942,24
2025-11-13T00:00:00.000Z,0.21,0.34,0.27,0.23,0.33,0.047,5